machine_id,is_idle,is_in_use,is_spin,has_clothes,last_time_stamp
RVREB-D6,0,0,0,0,20230101-000000
RVREB-D1,1,0,0,0,20241113-151902
RVREB-W6,0,0,0,0,20230101-000000
RVREB-W1,0,1,0,1,20241108-170602
RVREB-D4,0,0,0,0,20230101-000000
RVREB-W3,0,0,0,0,20230101-000000
RVREB-W8,0,0,0,0,20230101-000000
RVREB-W4,0,0,0,0,20230101-000000
RVREB-W5,0,0,0,0,20230101-000000
RVREB-W2,0,0,0,0,20230101-000000
RVREB-D5,0,0,0,0,20230101-000000
RVREB-D2,0,0,0,0,20230101-000000
RVREB-D3,0,0,0,0,20230101-000000
RVREB-W7,0,0,0,0,20230101-000000
